,US S&P 500
2003-01-02,100.0
2003-01-03,99.86597399652584
2003-01-06,102.11040341422132
2003-01-07,101.43743901007016
2003-01-08,99.94520185557853
2003-01-09,101.85179936320776
2003-01-10,101.86880568389027
2003-01-13,101.8324985389411
2003-01-14,102.28249118303255
2003-01-15,100.9792131472356
2003-01-16,100.55338027617724
2003-01-17,99.14388022151405
2003-01-20,99.14388022151405
2003-01-21,97.58712702506813
2003-01-22,96.42826774427351
2003-01-23,97.46578827670633
2003-01-24,94.58119235903311
2003-01-27,93.0638506359149
2003-01-28,94.15711410836265
2003-01-29,94.8813674161595
2003-01-30,92.71738059470833
2003-01-31,94.02254822169223
2003-02-03,94.38899394116082
2003-02-04,93.14172878697691
2003-02-05,92.7333071489983
2003-02-06,92.1143310644742
2003-02-07,91.06452818932624
2003-02-10,91.83683110159116
2003-02-11,91.05750970777471
2003-02-12,89.97193957087384
2003-02-13,89.8599138076477
2003-02-14,91.76813096486575
2003-02-17,91.76813096486575
2003-02-18,93.52558573952524
2003-02-19,92.90121082303844
2003-02-20,92.01337290677161
2003-02-21,93.2793990020259
2003-02-24,91.44811520027642
2003-02-25,92.17655260284437
2003-02-26,90.94966803931968
2003-02-27,92.05602367927699
2003-02-28,92.54394311790644
2003-03-03,91.78770173073055
2003-03-04,90.44663187119465
2003-03-05,91.25834625678733
2003-03-06,90.39804238353032
2003-03-07,90.98030641070804
2003-03-10,88.73371746022748
2003-03-11,87.98665408738819
2003-03-12,88.4639108328913
2003-03-13,91.56270540868482
2003-03-14,91.79175085470258
2003-03-17,94.94250918813715
2003-03-18,95.22716260337076
2003-03-19,96.07005524354804
2003-03-20,96.32299052100076
2003-03-21,98.51248682347573
2003-03-24,95.06195834531198
2003-03-25,96.21325926135879
2003-03-26,95.61911780386313
2003-03-27,95.54366912718432
2003-03-28,95.02781073314787
2003-03-31,93.10744620401375
2003-04-01,94.47267583658275
2003-04-02,96.9798934000629
2003-04-03,96.2757507413271
2003-04-04,96.7218292322456
2003-04-07,96.69577986802554
2003-04-08,96.64408605198264
2003-04-09,95.28344542658196
2003-04-10,96.00634902638814
2003-04-11,95.54987778394144
2003-04-14,97.46038944474363
2003-04-15,98.051966457057
2003-04-16,96.73721590333932
2003-04-17,98.31515951523888
2003-04-18,98.31515951523888
2003-04-21,98.20920743797079
2003-04-22,100.34080126764576
2003-04-23,101.13820874853725
2003-04-24,100.30287447310772
2003-04-25,98.78283333400817
2003-04-28,100.69078054962807
2003-04-29,101.00323794946962
2003-04-30,100.61114777817819
2003-05-01,100.5431224954481
2003-05-02,102.30813563485539
2003-05-05,101.93885552860638
2003-05-06,102.87393322454686
2003-05-07,102.25158287004605
2003-05-08,101.18706817779972
2003-05-09,102.70252030973097
2003-05-12,104.045884672851
2003-05-13,103.77837254909899
2003-05-14,103.42123981476605
2003-05-15,104.20488027415269
2003-05-16,103.92940487325566
2003-05-19,101.36833396094754
2003-05-20,101.25617322692233
2003-05-21,101.58023811548371
2003-05-22,102.63125572782326
2003-05-23,102.64286321654308
2003-05-26,102.64286321654308
2003-05-27,104.77729143299845
2003-05-28,104.90470386731829
2003-05-29,104.40355729038022
2003-05-30,106.17990797690919
2003-06-02,106.47265964008685
2003-06-03,107.0052544132077
2003-06-04,108.61491616288814
2003-06-05,109.03022131161923
2003-06-06,108.73436532006299
2003-06-09,107.46010600606557
2003-06-10,108.46766302110538
2003-06-11,109.8589420178944
2003-06-12,110.1145767113285
2003-06-13,108.91198689163599
2003-06-16,111.277215174497
2003-06-17,111.35158408478325
2003-06-18,111.18435526473847
2003-06-19,109.50396881634659
2003-06-20,109.48871711605193
2003-06-23,108.0798919153841
2003-06-24,108.31811537573846
2003-06-25,107.41799511675649
2003-06-26,108.60411849896275
2003-06-27,107.41853499995275
2003-06-30,107.18584534236018
2003-07-01,108.15601544605823
2003-07-02,109.42042189172372
2003-07-03,108.53406865424664
2003-07-04,108.53406865424664
2003-07-07,110.60519556593931
2003-07-08,111.01766632788997
2003-07-09,110.45645774536679
2003-07-10,108.90334876049566
2003-07-11,109.86623044104408
2003-07-14,110.53771016640547
2003-07-15,110.22498282496582
2003-07-16,109.4713058829722
2003-07-17,108.07084887184656
2003-07-18,109.26898465516983
2003-07-21,107.790244580585
2003-07-22,108.74286848040427
2003-07-23,108.84247693011615
2003-07-24,108.07381822942605
2003-07-25,109.91158062953079
2003-07-28,109.75029052464498
2003-07-29,108.99418410826817
2003-07-30,108.7080460142448
2003-07-31,108.94330011701967
2003-08-01,107.97690919569551
2003-08-04,108.22080142961067
2003-08-05,106.17788341492316
2003-08-06,106.41003318931948
2003-08-07,107.27870525211868
2003-08-08,107.72653836342508
2003-08-11,108.03103248612163
2003-08-12,109.11214858665328
2003-08-13,108.43324546734314
2003-08-14,109.11903209740572
2003-08-15,109.10958414147099
2003-08-18,110.20190281832525
2003-08-19,110.52016396252671
2003-08-20,110.19204994999332
2003-08-21,110.59331813562135
2003-08-22,109.40476527903186
2003-08-25,109.37493673243792
2003-08-26,109.82492937652937
